No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
1,조현우,GK,21,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,26,21,0,17,12,0,0,9,9,0,0,26,21,0,0,9,4,5,5,12,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
2,설영우,DF,66,99,0,0,2,1,1,0,1,1,0,0,0,9,1,0,71,67,0,13,13,26,26,32,28,21,18,6,6,44,43,3,3,21,20,47,44,3,1,0,0,1,1,1,1,3,1,2,10,3,1,0,2,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
3,황석호,DF,20,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,88,80,0,35,27,5,5,48,48,2,2,18,16,68,62,7,2,37,36,44,42,0,0,1,1,3,2,3,0,7,2,2,10,2,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
4,이명재,DF,13,99,0,0,0,0,0,0,0,0,0,2,1,9,0,0,51,44,1,17,13,18,18,16,13,25,19,3,3,23,22,3,3,13,11,35,30,7,3,1,1,2,0,0,0,1,0,1,3,1,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
5,김영권,DF,19,89,0,0,0,0,0,0,0,0,0,2,0,0,0,0,98,89,0,55,46,7,7,36,36,4,3,14,14,80,72,11,7,48,43,39,39,0,0,1,0,3,1,1,0,3,0,1,7,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
6,아타루,MF,31,99,1,0,3,2,1,0,2,1,0,0,1,0,1,0,42,28,0,22,12,10,9,10,7,17,10,2,1,23,17,1,1,13,9,28,18,3,0,3,2,1,1,1,0,1,1,4,9,1,0,0,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
7,장시영,MF,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,4,1,0,2,1,0,0,3,3,0,0,2,2,3,2,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
8,김민우,MF,10,74,0,0,1,0,0,1,1,0,2,0,0,1,1,0,28,23,1,8,3,14,14,6,6,14,11,0,0,14,12,1,0,5,4,22,19,0,0,1,0,4,3,1,0,0,2,1,6,3,1,1,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
9,고승범,MF,7,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,75,0,18,12,22,22,42,41,14,11,8,7,60,57,3,2,23,22,56,51,0,0,1,0,2,0,2,1,2,2,4,7,1,0,0,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
10,이규성,MF,8,99,0,0,0,0,0,0,0,0,0,0,1,0,1,1,75,63,1,27,16,12,12,36,35,18,14,6,4,51,45,5,2,34,30,36,31,1,1,0,0,2,0,1,0,2,2,0,11,2,0,0,3,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
