Team,Ko_name,Player,Season,Reason,Start_Date,End_Date,Days,Games_Missed
Gimcheon Sangmu,김재우,Jae-woo Kim,23/24,unknown injury,03/04/2024,31/07/2024,120,23
Gimcheon Sangmu,이상민,Sang-min Lee,23/24,unknown injury,01/02/2024,,705,25
Gimcheon Sangmu,조현택,Hyun-taek Cho,23/24,Red card suspension,16/06/2024,26/06/2024,11,2
Gimcheon Sangmu,박수일,Soo-il Park,23/24,Achilles tendon problems,07/05/2024,05/06/2024,30,5
Gimcheon Sangmu,이현식,Hyeon-sik Lee,23/24,unknown injury,23/04/2024,16/06/2024,55,9
Gimcheon Sangmu,구본철,Bon-cheul Goo,23/24,Fitness,16/04/2024,16/07/2024,92,18
Gimcheon Sangmu,김찬,Chan Kim,23/24,unknown injury,17/03/2024,23/07/2024,129,25
Daegu FC,바셀루스,Lucas Barcelos,23/24,unknown injury,17/04/2024,07/07/2024,82,15
Daegu FC,김영준,Young-jun Kim,23/24,unknown injury,10/06/2024,24/07/2024,45,8
Daegu FC,홍철,Chul Hong,23/24,Indirect card suspension,22/07/2024,28/07/2024,7,1
Daegu FC,요시노,Kyohei Yoshino,23/24,Red card suspension,07/07/2024,15/07/2024,9,2
Daegu FC,세징야,Cesinha,23/24,Bruised ribs,01/11/2024,25/11/2024,25,3
Daegu FC,박진영,Jin-young Park,23/24,Yellow card suspension,01/09/2024,15/09/2024,15,1
Daejeon Hana Citizen,이창근,Chang-geun Lee,23/24,unknown injury,27/06/2024,02/07/2024,6,1
Daejeon Hana Citizen,안톤,Anton Kryvotsiuk,23/24,Indirect card suspension,11/11/2024,25/11/2024,15,1
Daejeon Hana Citizen,안톤,Anton Kryvotsiuk,23/24,Yellow card suspension,02/09/2024,15/09/2024,14,1
Daejeon Hana Citizen,안톤,Anton Kryvotsiuk,23/24,Red card suspension,26/05/2024,17/06/2024,23,3
Daejeon Hana Citizen,김현우,Hyun-woo Kim,23/24,unknown injury,23/06/2024,02/07/2024,10,2
Daejeon Hana Citizen,김재우,Jae-woo Kim,23/24,unknown injury,03/04/2024,31/07/2024,120,23
Daejeon Hana Citizen,아론,Aaron Calver,23/24,unknown injury,01/08/2024,31/12/2024,153,13
Daejeon Hana Citizen,박진성,Jin-seong Park,23/24,unknown injury,29/06/2024,14/09/2024,78,11
Daejeon Hana Citizen,김문환,Moon-hwan Kim,23/24,Indirect card suspension,10/12/2023,14/12/2023,5,1
Daejeon Hana Citizen,이순민,Soon-min Lee,23/24,unknown injury,01/04/2024,08/05/2024,38,8
Daejeon Hana Citizen,김준범,Jun-beom Kim,23/24,unknown injury,01/04/2024,02/07/2024,93,18
Daejeon Hana Citizen,이준규,Jun-gyu Lee,23/24,unknown injury,29/05/2024,31/12/2024,217,25
Daejeon Hana Citizen,이현식,Hyeon-sik Lee,23/24,unknown injury,23/04/2024,16/06/2024,55,9
Daejeon Hana Citizen,이현식,Hyeon-sik Lee,23/24,Indirect card suspension,03/04/2024,08/04/2024,6,1
Daejeon Hana Citizen,김인균,In-gyun Kim,23/24,unknown injury,20/06/2024,12/08/2024,54,9
Daejeon Hana Citizen,신상은,Sang-eun Shin,23/24,unknown injury,08/05/2024,17/02/2025,286,29
Daejeon Hana Citizen,마사,Masatoshi Ishida,23/24,Fitness,27/06/2024,02/07/2024,6,1
Daejeon Hana Citizen,구텍,Vladislavs Gutkovskis,23/24,Ankle injury,30/03/2024,12/08/2024,136,27
Daejeon Hana Citizen,구텍,Vladislavs Gutkovskis,23/24,Torn knee ligaments,11/08/2023,31/01/2024,174,19
Daejeon Hana Citizen,김승대,Seung-dae Kim,23/24,unknown injury,15/06/2024,31/07/2024,47,10
FC Seoul,김주성,Ju-sung Kim,23/24,Toe injury,07/04/2024,24/06/2024,79,17
FC Seoul,술라카,Rebin Sulaka,23/24,Red card suspension,01/04/2024,08/04/2024,8,2
FC Seoul,이상민,Sang-min Lee,23/24,unknown injury,01/02/2024,,705,25
FC Seoul,김진야,Jin-ya Kim,23/24,Fitness,20/06/2024,07/07/2024,18,4
FC Seoul,김진야,Jin-ya Kim,23/24,Toe injury,07/05/2024,17/06/2024,42,6
FC Seoul,기성용,Sung-yueng Ki,23/24,Achilles tendon problems,10/06/2024,22/10/2024,135,20
FC Seoul,류재문,Jae-moon Ryu,23/24,unknown injury,01/05/2024,31/05/2024,31,5
FC Seoul,황도윤,Do-yoon Hwang,23/24,unknown injury,21/05/2024,26/08/2024,98,17
FC Seoul,이승모,Seung-mo Lee,23/24,unknown injury,01/02/2024,06/05/2024,96,12
FC Seoul,백상훈,Sang-hoon Paik,23/24,unknown injury,01/06/2024,13/08/2024,74,13
FC Seoul,조영욱,Young-wook Cho,23/24,Hamstring injury,27/04/2024,23/06/2024,58,11
FC Seoul,일류첸코,Stanislav Ilyuchenko,23/24,Fitness,13/11/2024,24/11/2024,12,1
Suwon FC,김태훈,Tae-han Kim,23/24,Red card suspension,15/10/2024,27/10/2024,13,2
Suwon FC,박철우,Cheol-woo Park,23/24,Yellow card suspension,20/05/2024,27/05/2024,8,1
Suwon FC,아르한,Pratama Arhan,23/24,Ill,22/03/2024,29/03/2024,8,1
Suwon FC,아르한,Pratama Arhan,23/24,Red card suspension,27/05/2024,02/06/2024,7,2
Suwon FC,아르한,Pratama Arhan,23/24,Called up to national team,01/04/2024,03/05/2024,33,6
Suwon FC,김주엽,Ju-yeop Kim,23/24,Nose injury,29/06/2024,07/07/2024,9,2
Suwon FC,이승우,Seung-woo Lee,23/24,Hamstring injury,27/06/2024,11/07/2024,15,3
Suwon FC,이준석,Joon-suk Lee,23/24,unknown injury,01/05/2024,18/06/2024,49,7
Suwon FC,이광혁,Gwang-hyeok Lee,23/24,unknown injury,08/05/2024,17/06/2024,41,6
Suwon FC,이광혁,Gwang-hyeok Lee,23/24,unknown injury,02/03/2024,16/04/2024,46,7
Suwon FC,노경호,Kyung-ho Roh,23/24,Indirect card suspension,26/08/2024,02/09/2024,8,1
Ulsan HD FC,김영권,Young-gwon Kim,23/24,Knee injury,04/06/2024,31/07/2024,58,13
Ulsan HD FC,황석호,Seok-ho Hwang,23/24,Fitness,21/05/2024,15/07/2024,56,11
Ulsan HD FC,이명재,Myung-jae Lee,23/24,unknown injury,28/06/2024,07/07/2024,10,2
Ulsan HD FC,심상민,Sang-min Sim,23/24,Broken nose bone,15/05/2024,18/06/2024,35,6
Ulsan HD FC,설영우,Young-woo Seol,23/24,Shoulder injury,07/04/2024,04/07/2024,89,17
Ulsan HD FC,루드빅손,Gustav Ludwigson,23/24,Toe injury,03/06/2024,31/07/2024,59,11
Ulsan HD FC,엄원상,Won-sang Um,23/24,Injury to abdominal muscles,07/09/2024,31/12/2024,116,16
Ulsan HD FC,장시영,Si-young Jang,23/24,unknown injury,01/05/2024,18/06/2024,49,9
Ulsan HD FC,주민규,Min-kyu Joo,23/24,Red card suspension,19/08/2024,22/09/2024,35,3
Ulsan HD FC,김지현,Ji-hyun Kim,23/24,Knee injury,30/04/2024,08/09/2024,132,25
Ulsan Hyundai,보야니치,Darijan Bojanic,22/23,unknown injury,24/11/2023,03/03/2024,101,7
Incheon United,델브리지,Harrison Delbridge,23/24,Hamstring injury,10/08/2024,30/09/2024,52,7
Incheon United,김동민,Dong-min Kim,23/24,unknown injury,28/06/2024,15/07/2024,18,4
Incheon United,오반석,Ban-suk Oh,23/24,Red card suspension,31/03/2024,07/04/2024,8,2
Incheon United,김연수,Yeon-soo Kim,23/24,Knee injury,18/05/2024,01/07/2024,45,9
Incheon United,최우진,Woo-jin Choi,23/24,Unknown,,,,
Incheon United,문지환,Ji-hwan Mun,23/24,Hamstring injury,01/08/2024,12/08/2024,12,1
Incheon United,이명주,Myung-joo Lee,23/24,Broken collarbone,01/05/2024,02/07/2024,63,12
Incheon United,신진호,Jin-ho Shin,23/24,unknown injury,01/10/2024,11/03/2025,162,9
Incheon United,신진호,Jin-ho Shin,23/24,Ankle injury,26/09/2023,20/05/2024,238,27
Incheon United,김현수,Hyun-seo Kim,23/24,unknown injury,17/03/2024,15/07/2024,121,23
Incheon United,제르소,Gerso,23/24,Torn ligaments in the tarsus,16/06/2024,31/07/2024,46,11
Incheon United,제르소,Gerso,23/24,Red card suspension,12/05/2024,26/05/2024,15,2
Incheon United,백승호,Seung-ho Park,23/24,Foot injury,28/06/2024,31/07/2024,34,7
Incheon United,김보섭,Bo-sub Kim,23/24,Ankle injury,01/02/2024,07/05/2024,97,12
Incheon United,송시우,Si-woo Song,23/24,Foot surgery,03/06/2024,10/10/2024,130,19
Jeonbuk Hyundai Motors,홍정호,Jeong-ho Hong,23/24,Hamstring injury,30/03/2024,27/06/2024,90,17
Jeonbuk Hyundai Motors,연제운,Je-woon Yeon,23/24,unknown injury,12/08/2024,16/10/2024,66,9
Jeonbuk Hyundai Motors,이재익,Jae-ik Lee,23/24,Indirect card suspension,02/05/2024,05/05/2024,4,1
Jeonbuk Hyundai Motors,김진수,Jin-su Kim,23/24,unknown injury,11/01/2024,22/01/2024,12,2
Jeonbuk Hyundai Motors,김진수,Jin-su Kim,23/24,Red card suspension,30/06/2024,11/07/2024,12,2
Jeonbuk Hyundai Motors,김진수,Jin-su Kim,23/24,Red card suspension,04/04/2024,14/04/2024,11,2
Jeonbuk Hyundai Motors,안현범,Hyun-beom Ahn,23/24,unknown injury,19/10/2024,04/11/2024,17,4
Jeonbuk Hyundai Motors,보아텡,Nana Boateng,23/24,Red card suspension,10/03/2024,04/04/2024,26,3
Jeonbuk Hyundai Motors,박진섭,Jin-seob Park,23/24,Red card suspension,15/07/2024,27/07/2024,13,2
Jeonbuk Hyundai Motors,박진섭,Jin-seob Park,24/25,Fitness,05/06/2024,02/07/2024,28,7
Jeonbuk Hyundai Motors,김진규,Jin-gyu Kim,23/24,Yellow card suspension,25/08/2024,02/09/2024,9,1
Jeonbuk Hyundai Motors,전병관,Byung-kwan Jeon,23/24,Fitness,20/07/2024,03/09/2024,46,6
Jeonbuk Hyundai Motors,송민규,Min-kyu Song,23/24,unknown injury,04/11/2024,06/12/2024,33,6
Jeonbuk Hyundai Motors,송민규,Min-kyu Song,23/24,unknown injury,24/09/2024,10/10/2024,17,3
Jeonbuk Hyundai Motors,에르난데스,Hernandes,23/24,unknown injury,28/09/2024,14/03/2025,168,22
Jeonbuk Hyundai Motors,에르난데스,Hernandes,23/24,Leg injury,14/02/2024,24/06/2024,132,23
Jeonbuk Hyundai Motors,권창훈,Chang-hoon Kwon,22/23,Heel injury,25/04/2023,12/08/2024,476,
Jeonbuk Hyundai Motors,성진영,Jin-young Sung,23/24,unknown injury,29/06/2024,,556,75
Jeju United,김동준,Dong-jun Kim,23/24,Finger injury,10/10/2024,31/12/2024,83,5
Jeju United,김동준,Dong-jun Kim,23/24,unknown injury,01/06/2024,09/06/2024,9,1
Jeju United,연제운,Je-woon Yeon,23/24,unknown injury,12/08/2024,16/10/2024,66,9
Jeju United,연제운,Je-woon Yeon,23/24,Back injury,22/04/2024,20/05/2024,29,5
Jeju United,임창민,Chai-min Lim,23/24,Cruciate ligament tear,13/04/2024,09/06/2024,58,11
Jeju United,홍정호,Jun-ho Hong,23/24,Red card suspension,03/06/2024,24/06/2024,22,2
Jeju United,최영준,Young-jun Choi,23/24,Cruciate ligament injury,28/04/2024,12/10/2024,168,29
Jeju United,김건영,Geon-ung Kim,23/24,Ankle injury,10/07/2024,05/09/2024,58,11
Jeju United,김건영,Geon-ung Kim,23/24,unknown injury,15/04/2024,08/06/2024,55,10
Jeju United,구자철,Ja-cheol Koo,23/24,unknown injury,07/09/2024,16/11/2024,71,8
Jeju United,구자철,Ja-cheol Koo,23/24,unknown injury,20/07/2024,19/08/2024,31,4
Jeju United,김주공,Ju-gong Kim,22/23,Cruciate ligament injury,11/11/2023,13/08/2024,277,32
Jeju United,헤이스,Reis,23/24,Red card suspension,26/08/2024,22/09/2024,28,2
Jeju United,유리 조나탄,Yuri Jonathan,23/24,Ankle injury,20/05/2024,11/07/2024,53,10
Jeju United,진성욱,Seong-uk Jin,23/24,unknown injury,30/04/2024,27/05/2024,28,5
Jeju United,진성욱,Seong-uk Jin,23/24,Red card suspension,30/05/2024,17/06/2024,19,2
Pohang Steelers,이동희,Dong-hee Lee,23/24,unknown injury,28/07/2024,31/12/2024,157,23
Pohang Steelers,아스프로,Jonathan Aspropotamitis,23/24,Red card suspension,02/03/2024,18/03/2024,17,2
Pohang Steelers,이규백,Gyu-baeg Lee,23/24,Red card suspension,28/10/2024,11/11/2024,15,2
Pohang Steelers,신광훈,Kwang-hoon Shin,23/24,Red card suspension,18/08/2024,01/09/2024,15,2
Pohang Steelers,신광훈,Kwang-hoon Shin,23/24,Indirect card suspension,29/05/2024,02/06/2024,5,1
Pohang Steelers,오베르단,Oberdan,23/24,Indirect card suspension,29/04/2024,02/05/2024,4,1
Pohang Steelers,김종우,Jong-woo Kim,23/24,Calf strain,19/05/2024,31/07/2024,74,15
Pohang Steelers,백성동,Sung-dong Paik,22/23,unknown injury,30/09/2023,03/03/2024,156,17
Pohang Steelers,이호재,Ho-jae Lee,23/24,Ankle injury,17/08/2024,30/11/2024,106,26
Gangwon FC,김영빈,Young-bin Kim,23/24,Yellow card suspension,14/07/2024,21/07/2024,8,1
Gangwon FC,강투지,Marko Tuci,23/24,Thigh problems,11/07/2024,15/07/2024,5,1
Gangwon FC,이지솔,Ji-sol Lee,23/24,unknown injury,20/06/2024,31/12/2024,195,21
Gangwon FC,윤석영,Seok-yeong Yun,23/24,unknown injury,29/05/2024,11/07/2024,44,9
Gangwon FC,김동현,Dong-hyeon Kim,23/24,unknown injury,26/10/2024,31/12/2024,67,4
Gangwon FC,김이석,Yi-seok Kim,23/24,Knee injury,29/05/2024,08/09/2024,103,16
Gangwon FC,김대우,Dae-woo Kim,23/24,unknown injury,28/06/2024,13/11/2024,139,18
Gangwon FC,카미야,Yuta Kamiya,23/24,unknown injury,13/05/2024,31/05/2024,19,3
Gangwon FC,갈레고,Galego,23/24,unknown injury,23/04/2024,18/06/2024,57,9
Gangwon FC,조진혁,Jin-hyuk Cho,23/24,Calf injury,04/06/2024,17/06/2024,14,1
Gangwon FC,가브리엘,Vitor Gabriel,23/24,Knee injury,29/04/2024,08/09/2024,133,21
Gwangju FC,김경민,Kyeong-min Kim,23/24,Red card suspension,04/04/2024,14/04/2024,11,2
Gwangju FC,변준수,Jun-soo Byeon,23/24,Yellow card suspension,19/10/2024,28/10/2024,10,1
Gwangju FC,변준수,Jun-soo Byeon,23/24,Yellow card suspension,20/04/2024,23/04/2024,4,1
Gwangju FC,안영규,Young-kyu Ahn,23/24,Red card suspension,07/04/2024,28/04/2024,22,2
Gwangju FC,올리베라,Bruno Oliveira,23/24,unknown injury,01/03/2024,23/06/2024,115,19
Gwangju FC,이민기,Min-ki Lee,23/24,Knee injury,20/04/2024,19/08/2024,122,22
Gwangju FC,김진호,Jin-ho Kim,23/24,Yellow card suspension,08/07/2024,11/07/2024,4,1
Gwangju FC,두현석,Hyeon-seok Doo,23/24,Arm injury,12/07/2024,13/11/2024,125,22
Gwangju FC,정호연,Ho-yeon Jung,23/24,Called up to national team,07/09/2024,16/09/2024,10,1
Gwangju FC,정호연,Ho-yeon Jung,23/24,Yellow card suspension,28/07/2024,10/08/2024,14,1
Gwangju FC,최경록,Kyoung-rok Choi,23/24,Fitness,02/07/2024,08/07/2024,7,1
Gwangju FC,아사니,Jasir Asani,23/24,Fitness,01/02/2024,01/06/2024,122,27
Gwangju FC,이희균,Hui-gyun Lee,23/24,unknown injury,08/05/2024,27/06/2024,51,10
Gwangju FC,베카,Beka Mikeltadze,23/24,Fitness,05/04/2024,26/05/2024,52,9
